SPCD,hw_sw,fia_wood_c
6604,hardwood,47.55
6605,hardwood,47.55
6606,hardwood,47.55
6610,hardwood,47.55
6611,hardwood,47.55
6612,hardwood,47.55
6613,hardwood,47.55
6614,hardwood,47.55
6615,hardwood,47.55
6616,hardwood,47.55
6620,hardwood,47.55
6621,hardwood,47.55
6622,hardwood,47.55
6625,hardwood,47.55
6626,hardwood,47.55
6627,hardwood,47.55
6628,hardwood,47.55
6629,hardwood,47.55
6630,hardwood,47.55
6631,hardwood,47.48
6632,hardwood,47.41
6633,hardwood,47.175465
6634,hardwood,47.41
6635,hardwood,47.41
6636,hardwood,47.41
6637,hardwood,47.48
6639,hardwood,47.48
6641,hardwood,47.48
6642,hardwood,47.48
6644,hardwood,47.48
6645,hardwood,47.48
6646,hardwood,47.48
6648,hardwood,47.48
6650,hardwood,47.48
6651,hardwood,47.48
6652,hardwood,47.34
6653,hardwood,47.48
6655,hardwood,47.48
6658,hardwood,47.48
6660,hardwood,47.48
6661,hardwood,47.48
6662,hardwood,47.48
6663,hardwood,47.48
6664,hardwood,47.48
6665,hardwood,47.48
6666,hardwood,47.48
6668,hardwood,47.48
6669,hardwood,47.48
6670,hardwood,47.48
6671,hardwood,47.48
6673,hardwood,47.48
6679,hardwood,47.48
6681,hardwood,47.62
6683,hardwood,47.48
6684,hardwood,45.37312064
6685,hardwood,47.48
6686,hardwood,47.48
6687,hardwood,47.13028
6688,hardwood,47.48
6689,hardwood,47.48
6691,hardwood,48.11
6693,hardwood,47.48
6694,hardwood,46.85
6696,hardwood,47.62
6697,hardwood,46.85
6699,hardwood,46.85
6700,hardwood,47.48
6702,hardwood,46.5
6703,hardwood,48.11
6705,hardwood,47.48
6706,hardwood,47.48
6707,hardwood,47.61543478
6708,hardwood,47.655
6709,hardwood,46.885
6710,hardwood,47.48
6711,hardwood,47.48
6712,hardwood,47.48
6714,hardwood,47.48
6716,hardwood,47.62
6717,hardwood,46.7835
6718,hardwood,46.7835
6719,hardwood,46.7835
6720,hardwood,46.7835
6721,hardwood,47.62
6722,hardwood,47.62
6724,hardwood,47.62
6726,hardwood,46.7835
6728,hardwood,47.5
6729,hardwood,47.641
6730,hardwood,47.48
6731,hardwood,45
6733,hardwood,47.97
6735,hardwood,47.48
6736,hardwood,47.641
6737,hardwood,47.48
6738,hardwood,47.48
6739,hardwood,47.48
6741,hardwood,47.641
6742,hardwood,47.61244
6743,hardwood,47.48
6744,hardwood,47.55
6745,hardwood,47.55
6746,hardwood,47.48
6747,hardwood,47.48
6748,hardwood,47.165
6749,hardwood,46.33774
6750,hardwood,47.48
6751,hardwood,46.33774
6752,hardwood,46.7786
6754,hardwood,44.5
6755,hardwood,47.220685
6756,hardwood,47.48
6758,hardwood,47.79325
6759,hardwood,45.7
6760,hardwood,43.6
6761,hardwood,47.48
6762,hardwood,47.48
6763,hardwood,47.48
6765,hardwood,47.48
6767,hardwood,47.48
6768,hardwood,47.21657895
6769,hardwood,46.64
6771,hardwood,46.941
6772,hardwood,47.48
6773,hardwood,47.48
6774,hardwood,47.48
6775,hardwood,47.48
6778,hardwood,47.2854
6779,hardwood,47.2854
6781,hardwood,47.2854
6782,hardwood,47.21657895
6783,hardwood,47.2854
6784,hardwood,47.2854
6785,hardwood,47.21657895
6786,softwood,52.59982954
6787,softwood,48.215
6788,softwood,47.96741928
6790,hardwood,47.48
6791,hardwood,47.21657895
6792,hardwood,47.48
6794,hardwood,46.305
6795,softwood,47.865
6796,softwood,47.865
6797,hardwood,47.2
6799,hardwood,47.2
6800,hardwood,47.55
6801,hardwood,47.55
6802,hardwood,47.55
6805,hardwood,47.55
6806,hardwood,47.55
6807,hardwood,47.55
6810,hardwood,47.55
6811,hardwood,47.55
6812,hardwood,47.55
6813,hardwood,47.55
6814,hardwood,47.55
6815,hardwood,47.55
6818,hardwood,47.55
6819,hardwood,47.55
6822,hardwood,47.55
6823,hardwood,47.55
6824,hardwood,47.55
6825,hardwood,47.55
6826,hardwood,47.55
6827,hardwood,47.55
6828,hardwood,47.55
6829,hardwood,47.55
6830,hardwood,47.55
6833,hardwood,47.55
6834,hardwood,47.48
6835,hardwood,47.48
6837,hardwood,47.55
6838,hardwood,47.55
6839,hardwood,47.48
6840,hardwood,47.55
6841,hardwood,47.55
6842,hardwood,47.55
6843,hardwood,47.48
6844,hardwood,47.55
6847,hardwood,47.55
6848,hardwood,47.48
6849,hardwood,47.55
6850,hardwood,47.48
6852,softwood,47.48
6853,softwood,47.55
6854,softwood,47.55
6855,hardwood,47.025
6857,hardwood,47.48
6858,hardwood,46.745
6859,hardwood,47.48
6860,hardwood,47.76
6862,hardwood,47.48
6863,hardwood,47.55
6864,hardwood,47.55
6865,hardwood,47.55
6866,hardwood,47.55
6867,hardwood,50.96666667
6868,hardwood,45.72044273
6869,hardwood,47.48
6870,hardwood,47.48
6871,hardwood,47.48
6872,hardwood,47.48
6873,hardwood,47.48
6875,hardwood,47.55
6876,hardwood,47.55
6877,hardwood,47.55
6880,hardwood,47.55
6881,hardwood,47.55
6882,hardwood,47.55
6883,hardwood,47.48
6884,hardwood,47.73599
6885,hardwood,48.57676
6886,hardwood,48.57676
6887,hardwood,48.57676
6888,hardwood,46.10666667
6889,hardwood,47.48
6891,hardwood,47.62
6896,hardwood,47.48
6898,hardwood,47.725
6899,hardwood,47.48
6900,hardwood,46.22
6902,hardwood,46.71
6903,hardwood,46.85
6904,hardwood,46.85
6905,hardwood,45.87
6906,hardwood,46.85
6907,hardwood,47.37136
6909,hardwood,47.48
6910,hardwood,46.85
6911,hardwood,46.71
6912,hardwood,47.48
6918,hardwood,47.48
6921,hardwood,47.0495
6923,hardwood,47.48
6924,hardwood,47.783345
6927,hardwood,47.48
6928,hardwood,48.18
6930,hardwood,47.48
6932,hardwood,47.48
6933,hardwood,47.85352
6934,hardwood,47.48
6935,hardwood,46.7975
6936,hardwood,46.7975
6937,hardwood,47.48
6938,hardwood,47.48
6939,hardwood,47.48
6940,hardwood,47.48
6941,hardwood,46.798795
6942,hardwood,46.798795
6943,hardwood,46.798795
6944,hardwood,47.025
6945,hardwood,47.025
6946,hardwood,47.025
6947,hardwood,47.025
